"stop_id","stop_code","stop_name","stop_lat","stop_lon","location_type","parent_station","wheelchair_boarding","zone_id"
"10982","24 / 2","Rudolfov elektrárna","50.7948303222656","15.1089143753052","0","10411","2","1"
"10992","35 / 1","Rudolfov has.zbroj.","50.7910003662109","15.1125860214233","0","10511","2","1"
"11002","35 / 2","Rudolfov has.zbroj.","50.7910079956055","15.1126937866211","0","10511","2","1"
"11012","136 / 3","Rudolfov","50.7863349914551","15.1111650466919","0","10611","2","1"
"14052","136 / 2","Rudolfov","50.786247253418","15.1118783950806","0","10611","2","1"
"14062","136 / 1","Rudolfov","50.7861557006836","15.1119632720947","0","10611","2","1"
"11032","41 / 1","Husova","50.7716407775879","15.0710296630859","0","10711","2","1"
"11042","41 / 2","Husova","50.7717819213867","15.0712118148804","0","10711","2","1"
"11052","158 / 1","Technická univerzita","50.77250693","15.07664185","0","10811","2","1"
"11062","158 / 2","Technická univerzita","50.77256969","15.07638436","0","10811","2","1"
"11072","8 / 1","Březová alej","50.77417802","15.08574192","0","10911","2","1"
"11082","8 / 2","Březová alej","50.7742306","15.08566816","0","10911","2","1"
"11092","8 / 3","Březová alej","50.7743644714355","15.0846261978149","0","10911","2","1"
"11102","77 / 2","Lesní správa","50.7736434936523","15.0919809341431","0","11011","2","1"
"11112","77 / 1","Lesní správa","50.7735710144043","15.0918312072754","0","11011","2","1"
"11122","190 / 1","Zahrádky","50.77636199","15.09951573","0","11111","2","1"
"11132","190 / 2","Zahrádky","50.7760162353516","15.0992088317871","0","11111","2","1"
"11142","34 / 1","Harcov Střelnice","50.7778015136719","15.1031732559204","0","11211","2","1"
"11152","34 / 2","Harcov Střelnice","50.77783203125","15.102991104126","0","11211","2","1"
"11162","90 / 1","Melantrichova","50.757381439209","15.058762550354","0","11311","2","1"
"11172","90 / 2","Melantrichova","50.757266998291","15.0589218139648","0","11311","2","1"
"11212","10 / 1","Čechova","50.7550315856934","15.0550947189331","0","11411","2","1"
"11222","10 / 2","Čechova","50.7550926208496","15.0552911758423","0","11411","2","1"
"11232","97 / 1","Mostecká","50.7513542175293","15.0565786361694","0","11511","2","1"
"11242","97 / 2","Mostecká","50.7521133422852","15.0563840866089","0","11511","2","1"
"11252","134 / 1","Rochlice","50.7469787597656","15.0631151199341","0","11611","2","1"
"11262","134 / 2","Rochlice","50.74725276","15.06311145","0","11611","2","1"
"11272","134 / 3","Rochlice","50.74723409","15.06229069","0","11611","2","1"
"11282","134 / 4","Rochlice","50.7466278076172","15.0622911453247","0","11611","2","1"
"11292","82 / 1","Kamenická","50.74370711","15.0609335","0","11711","2","1"
"11302","82 / 2","Kamenická","50.74361885","15.05886015","0","11711","2","1"
"11312","202 / 1","Doubská","50.7435531616211","15.0548706054688","0","11811","2","1"
